"","year_month","country_name","volume_sum","value_sum","refusal_count","USDA_dummy","year","month","USDAxVolume"
"284",Nov 2016,"THAILAND",1100,5501,56,1,2016,11,1100
"285",Nov 2016,"VIETNAM",12349522,33057186,37,1,2016,11,12349522
"286",Dec 2016,"CHINA",928588,6332049,119,1,2016,12,928588
"287",Dec 2016,"GUYANA",1313,9946,2,1,2016,12,1313
"288",Dec 2016,"THAILAND",400,4900,13,1,2016,12,400
"289",Dec 2016,"VIETNAM",9507450,26618745,23,1,2016,12,9507450
"290",Jan 2017,"BURMA",6002,52643,NA,1,2017,1,6002
"291",Jan 2017,"CHINA",965459,6572663,122,1,2017,1,965459
"292",Jan 2017,"VIETNAM",12221132,35088088,30,1,2017,1,12221132
"293",Feb 2017,"CHINA",668183,4588944,185,1,2017,2,668183
"294",Feb 2017,"GUYANA",1003,7630,NA,1,2017,2,1003
"295",Feb 2017,"THAILAND",4065,20069,13,1,2017,2,4065
"296",Feb 2017,"VIETNAM",6924239,20752821,16,1,2017,2,6924239
"297",Mar 2017,"BRAZIL",5040,21067,67,1,2017,3,5040
"298",Mar 2017,"CHINA",244803,1672676,260,1,2017,3,244803
"299",Mar 2017,"GUYANA",3264,23408,31,1,2017,3,3264
"300",Mar 2017,"THAILAND",1000,6275,35,1,2017,3,1000
"301",Mar 2017,"VIETNAM",5221133,15710471,40,1,2017,3,5221133
"302",Apr 2017,"CHINA",442070,2932745,191,1,2017,4,442070
"303",Apr 2017,"GUYANA",408,2868,4,1,2017,4,408
"304",Apr 2017,"VIETNAM",7687076,22998939,49,1,2017,4,7687076
"305",May 2017,"BURMA",9686,70196,NA,1,2017,5,9686
"306",May 2017,"CHINA",410275,2731424,195,1,2017,5,410275
"307",May 2017,"THAILAND",567,5062,72,1,2017,5,567
"308",May 2017,"VIETNAM",8588835,26066876,24,1,2017,5,8588835
"309",Jun 2017,"BANGLADESH",7033,51930,21,1,2017,6,7033
"310",Jun 2017,"BURMA",862,4079,NA,1,2017,6,862
"311",Jun 2017,"CHINA",629745,4180356,259,1,2017,6,629745
"312",Jun 2017,"GUYANA",690,5313,4,1,2017,6,690
"313",Jun 2017,"INDIA",9766,64482,98,1,2017,6,9766
"314",Jun 2017,"INDONESIA",1178,9955,12,1,2017,6,1178
"315",Jun 2017,"VIETNAM",11331248,34426083,15,1,2017,6,11331248
"316",Jul 2017,"BANGLADESH",2925,20258,19,1,2017,7,2925
"317",Jul 2017,"BURMA",8232,48329,NA,1,2017,7,8232
"318",Jul 2017,"CHINA",523871,3522620,264,1,2017,7,523871
